Ejecución,Tmax,Tiempo (s),Iteración óptima,Eficiencia,sA,sB,sRail,pRail,pA_x,pA_y,pA_z,pB_x,pB_y,pB_z
1,1.113254510866156,1.1855313777923584,95,0.9390342016414673,0.3898053061424249,0.8855183805027477,0.8533859585124175,0.2438464828189455,0.35011172013244474,-0.2325316833488419,0.10799313110016207,0.5501117201324448,-0.2325316833488419,0.10799313110016207
2,1.498023783217853,1.1711187362670898,68,1.279139114444334,0.38772293696416293,0.993923383936624,0.7516179387435921,0.2518964843722611,0.11031900480788547,0.2747436584218146,0.49969484611366677,0.3103190048078855,0.2747436584218146,0.49969484611366677
3,1.1242984193961683,0.8977565765380859,42,1.2523421702257747,0.40038878325263627,0.5152142588347484,1.0,0.023094474074758342,0.4169878559958242,-0.15443429006054754,0.07008589046243574,0.6169878559958242,-0.15443429006054754,0.07008589046243574
4,1.3937704229096008,1.1874196529388428,97,1.1737808275785595,0.4525422624044814,0.9922018616933796,0.8663465998410984,0.34802008031886567,0.13602008031886564,-0.15931675487838703,0.5949367063209916,0.33602008031886565,-0.15931675487838703,0.5949367063209916
5,1.0605972264607886,2.7524077892303467,118,0.3853343354900774,0.3760689565490989,0.8258215560325671,0.9390791557191273,0.5851904042757647,0.3731904042757648,-0.017363388576874472,0.139695720857144,0.5731904042757647,-0.017363388576874472,0.139695720857144
6,1.0874956477461113,1.1598715782165527,83,0.9376000482900629,0.4778824870922361,0.9012559239007776,0.7914401456525665,0.49098433119427715,0.38570651863528704,0.3376237084986846,0.08557883419282641,0.585706518635287,0.3376237084986846,0.08557883419282641
7,1.0763323844301205,0.8969252109527588,150,1.2000246746178385,0.33828856259375173,1.0,0.8904948882083176,0.46033183005331957,0.24833183005331955,0.07572757047773149,0.2552908364383102,0.44833183005331956,0.07572757047773149,0.2552908364383102
8,1.3316033802002505,2.0493853092193604,38,0.649757453715464,0.320253628382,0.8158643907655705,0.8053901254900463,0.22789942875028799,0.26811017216345373,0.266681734453337,0.19712454452017336,0.46811017216345374,0.266681734453337,0.19712454452017336
9,1.654279679545077,1.1893420219421387,124,1.3909200625432516,0.3096005485459438,0.6634623841607322,0.901641285642101,0.2159791240596585,0.19542191463557357,-0.2141045157110899,0.42223623552887546,0.3954219146355736,-0.2141045157110899,0.42223623552887546
10,2.419146283863399,1.7304461002349854,89,1.397989965440063,0.17542790701494404,0.46945111518777927,0.4368288232718089,0.09272345320890517,0.2799536247608464,0.0737161436494852,0.31031371289892196,0.4799536247608464,0.0737161436494852,0.31031371289892196
11,1.3187785091150972,0.9149148464202881,83,1.4414221326443364,0.5468764471150721,0.987178261137982,0.9622375389877558,0.1982878853844371,0.30767148719347776,-0.3952159610465682,0.518914004473511,0.5076714871934778,-0.3952159610465682,0.518914004473511
12,1.2962697672810466,0.8908171653747559,87,1.4551468221155368,0.3431202430880782,0.9293858901845085,0.9812950657925659,0.315719881151472,0.13883372321571819,-0.13662277442990833,0.3998567992058547,0.3388337232157182,-0.13662277442990833,0.3998567992058547
13,1.8615835147415214,1.517627239227295,135,1.2266408157574669,0.2132295797309173,0.7238463696799966,0.7407507808118563,0.11241723437775503,-0.001262127252883669,-0.025927142706666184,0.39609501790364554,0.19873787274711635,-0.025927142706666184,0.39609501790364554
14,1.3185432155124932,1.4454431533813477,32,0.9122068982291034,0.42566446062974483,0.9777288438919663,0.8128085563545869,0.3956961421992531,0.18886436735568865,0.38460323320339396,0.36251897921937704,0.38886436735568863,0.38460323320339396,0.36251897921937704
15,1.2292693426994554,0.903395414352417,144,1.3607212557976458,0.38564703536105477,0.9037719881216859,0.8442014466654338,0.4662084807475064,0.2542084807475064,0.26087838400562235,0.30340940654408144,0.4542084807475064,0.26087838400562235,0.30340940654408144
16,1.5563495578748894,2.5267133712768555,103,0.6159580962237913,0.14933150020475738,0.7457823117323582,0.8485304435798683,0.06204686064676222,0.05606029127673061,0.15046924890632574,0.16802099864320974,0.25606029127673063,0.15046924890632574,0.16802099864320974
17,1.2082662727747908,1.7299182415008545,79,0.6984528192075221,0.4230095749337985,0.9031733791872939,0.823124791004047,0.499536441195698,0.287536441195698,0.028668684096432306,0.42157392501488,0.487536441195698,0.028668684096432306,0.42157392501488
18,1.5687178918721352,0.9205513000488281,79,1.7041069756665672,0.2792358080460666,0.8509473470818208,0.9036755503516177,0.12685212044907032,0.01306109676785797,0.031478233761135344,0.43671392087512817,0.21306109676785798,0.031478233761135344,0.43671392087512817
19,1.1900749811823779,2.252654552459717,57,0.5282989262081539,0.45963146978982605,0.8426578832887083,0.8220453989797045,0.5682121658973103,0.3562121658973103,0.3839924791966991,0.15769336912579235,0.5562121658973103,0.3839924791966991,0.15769336912579235
20,1.4063670888318858,1.9825084209442139,115,0.7093876999332351,0.2939435181612536,0.9872670938255332,0.6953292849884383,0.03605671517543867,0.26930769889017103,-0.041964669247687714,0.310814545567483,0.46930769889017104,-0.041964669247687714,0.310814545567483
21,1.3311110447882204,3.1970949172973633,142,0.41635018015463354,0.1282707833694616,0.8832164622937705,0.9312041186907425,0.10359709742621034,0.0644551731999705,0.1014654564593761,0.12125735847824681,0.26445517319997053,0.1014654564593761,0.12125735847824681
22,1.6325776891217494,1.689436435699463,85,0.9663445481722591,0.13192929187514288,0.7467759385107537,0.763899600194498,0.2266935408143378,0.04982244096027628,0.14354752922909897,0.15265140665580523,0.24982244096027628,0.14354752922909897,0.15265140665580523
23,1.1519919612886484,1.5242297649383545,132,0.7557862914028839,0.2716437073297465,0.9351694780395362,0.9458851677057698,0.0,0.22910761202847973,-0.034429789482065876,0.21035763117137263,0.42910761202847975,-0.034429789482065876,0.21035763117137263
24,1.0262810230497883,1.208907127380371,56,0.8489328913741103,0.37207880020167977,0.9219601708678377,0.9005262243658376,0.264783138452149,0.34308630190621475,0.08517214997858769,0.14440421734249476,0.5430863019062148,0.08517214997858769,0.14440421734249476
25,0.9126318083335319,1.7123005390167236,107,0.53298576245126,0.5525218762430928,0.8753975377837513,0.4296761951987487,0.6900722149075569,0.4780722149075568,0.07000057782784663,0.14426714518417427,0.6780722149075569,0.07000057782784663,0.14426714518417427
26,1.1617283949121056,2.536823272705078,120,0.45794612790402445,0.24529569412374116,0.9303707359132872,0.9200450725121749,0.3851284642625362,0.20018951242230193,-0.1168394029369898,0.16576757646740548,0.40018951242230194,-0.1168394029369898,0.16576757646740548
