run,cpu_time,front_size,HV,diversity
1,3.4020650386810303,20,3.9655386663611495e-05,1.3490267935062649e-05
2,5.253274440765381,8,7.361189597973288e-09,1.334203759999435e-07
3,2.816993474960327,11,3.6956291530766544e-06,6.495706963834277e-06
4,4.2469260692596436,11,2.556921728699261e-07,1.7521292132464105e-06
5,2.1055195331573486,13,4.3372903492882584e-06,0.00014473592614596268
6,2.121350049972534,10,4.818798817163527e-07,4.517456410293508e-07
7,6.56145715713501,6,1.331910618611741e-07,0.00013418159570934942
8,2.1569745540618896,14,5.4426559334122866e-05,0.0001653198715152228
9,2.418123483657837,6,5.526902533594791e-07,1.5027883616905932e-06
10,8.055224895477295,7,7.1388335314951e-09,8.810872979722306e-07
11,3.937077522277832,8,9.886486388419429e-08,8.539760722788567e-06
12,2.1290829181671143,8,9.525577016669478e-08,8.791872797694726e-05
13,2.6927402019500732,20,8.371262622458791e-17,0.0
14,2.698091745376587,6,6.492986789383713e-09,1.330841511142906e-06
15,2.4651217460632324,9,3.731894912239888e-05,0.0006360250159461384
16,2.7807345390319824,7,1.4572968264101418e-06,0.00014093734833887776
17,3.6204447746276855,7,1.0088645391505379e-06,3.99810780705856e-05
18,2.130150556564331,10,6.892508069732669e-08,8.248001921461603e-06
19,3.5964298248291016,20,9.241774878719313e-07,5.5278080622147015e-05
20,2.741158962249756,9,4.7501459936062595e-08,2.800081921251667e-07
21,5.085268020629883,6,3.055816353871044e-08,1.3445999214188278e-05
22,4.002851724624634,16,2.344597206805959e-09,2.83272320404204e-07
23,3.976320266723633,3,0.0,0.0
24,4.037934064865112,10,1.5279778230513865e-06,8.511551649574875e-05
25,2.421449899673462,2,6.114323261695109e-10,0.0
26,2.114990711212158,4,4.1906418871802335e-06,7.447160948612044e-06
27,5.133754014968872,19,5.412470081840529e-06,0.00020810964442871435
28,3.944504499435425,17,4.255146403529312e-08,1.8721500198419916e-07
29,3.020024538040161,9,1.127244032665668e-09,4.449639979310123e-08
30,2.4306304454803467,3,5.144278130907836e-07,2.088673801975983e-07
