Ejecución,Tmax,Tiempo (s),Iteración óptima,Eficiencia,sA,sB,sRail,pRail,pA_x,pA_y,pA_z,pB_x,pB_y,pB_z
1,1.9489693095213518,1.0008678436279297,53,1.947279375523505,0.32226267057546437,0.7062441133287426,0.6060961964007335,0.28618755963473985,0.1757558952660541,0.0005215510659477562,0.6029345159344873,0.37575589526605413,0.0005215510659477562,0.6029345159344873
2,1.6884269467920343,0.7335424423217773,29,2.301744042850332,0.3233123749270297,0.8194921469857144,0.7543861621420271,0.15930720030647344,0.11771425525967985,0.06813640680338273,0.5286425771810924,0.3177142552596799,0.06813640680338273,0.5286425771810924
3,1.2893375024743305,2.9351425170898438,101,0.43927594485350313,0.4144983138334317,0.957875583804187,0.6277304392476986,0.3087040543658862,0.3586928790005242,-0.04132320059436034,0.39400457214873663,0.5586928790005242,-0.04132320059436034,0.39400457214873663
4,1.5593341243874506,0.7286489009857178,149,2.1400349637225555,0.310219800350368,0.9271134945952072,0.7929474160069392,0.2092577078977338,0.03340898435361416,0.09274317642954133,0.4735856548805798,0.23340898435361418,0.09274317642954133,0.4735856548805798
5,1.6757689770718036,0.7229437828063965,98,2.317979650598327,0.3751835289587294,0.7374515908233705,0.7364450575345427,0.18589237327943758,0.2832230314893077,0.2485222125210642,0.5031413201257764,0.48322303148930773,0.2485222125210642,0.5031413201257764
6,1.9257836903687577,2.9894070625305176,143,0.6442025626107245,0.4177336877403883,0.6835835907996137,0.7032726369865772,0.24374957602444608,0.32458495237600493,-0.043577459443056354,0.734785075376642,0.5245849523760049,-0.043577459443056354,0.734785075376642
7,1.876831753282846,2.830791711807251,144,0.6630059518171431,0.3584747748434774,0.8640546182277784,0.5711900036927473,0.22046810962992994,0.15761429055281184,0.07792077075384418,0.6493566006764264,0.35761429055281185,0.07792077075384418,0.6493566006764264
8,1.2196727530249256,1.3084452152252197,104,0.9321542383530258,0.4614317576917541,0.858896930369746,0.846887550716163,0.23769047526290624,0.382288787960627,-0.23309980927986307,0.3409057109765191,0.582288787960627,-0.23309980927986307,0.3409057109765191
9,1.8905349858823826,0.7327108383178711,149,2.580192467498637,0.2809960606263979,0.8051110452931788,0.6381002547585685,0.12741554998636315,0.07504024991027586,-0.1608996107922709,0.5006836053981603,0.27504024991027587,-0.1608996107922709,0.5006836053981603
10,1.2663455823591887,0.7214710712432861,72,1.7552271086586178,0.15244370392616724,0.9219708575603045,0.7575247767440106,0.19498961009193952,0.19234007328618344,0.01643681979660594,0.0001829609984945746,0.3923400732861835,0.01643681979660594,0.0001829609984945746
11,1.5742181004215978,4.447351694107056,100,0.3539675313979573,0.3110007220125373,0.7249045005686631,0.4703746666982363,0.36533002254691416,0.37493651443986503,0.31477991978705955,0.0014085235392112816,0.574936514439865,0.31477991978705955,0.0014085235392112816
12,1.7028966504824994,0.7174043655395508,129,2.373691508277584,0.2933982068081037,0.7535428694062765,0.5469040524144908,0.24729627080006603,0.2826699276634935,-0.039739760964521254,0.4100553962411878,0.48266992766349354,-0.039739760964521254,0.4100553962411878
13,2.085799073622344,2.2111310958862305,133,0.9433176881745888,0.2968542107194443,0.6259807453911665,0.6656175757410123,0.2709111821445124,0.1482662454383843,0.327971870396363,0.5038127142946435,0.3482662454383843,0.327971870396363,0.5038127142946435
14,2.057574852370728,0.7264161109924316,13,2.8325016767038163,0.22618431123756352,0.5685712304089992,0.7005262759967876,0.1826214496460421,0.13027617017968432,0.27099937435712573,0.3552083263268585,0.33027617017968436,0.27099937435712573,0.3552083263268585
